Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
PG,Procter & Gamble Company (The),119.32,298570,1900,Basic Industries,Package Goods-Cosmetics,https://www.nasdaq.com/symbol/pg
HCA,HCA Healthcare Inc.,120.41,41060,2011,Health Care,Hospital-Nursing Management,https://www.nasdaq.com/symbol/hca
AYI,Acuity Brands Inc. ,120.96,4830,1900,Consumer Durables,Building Products,https://www.nasdaq.com/symbol/ayi
ATR,AptarGroup Inc.,120.99,7750,1900,Consumer Non-Durables,Plastic Products,https://www.nasdaq.com/symbol/atr
CMPR,Cimpress N.V,121.85,3700,1900,Miscellaneous,Publishing,https://www.nasdaq.com/symbol/cmpr
AWK,American Water Works,124.75,22540,2008,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/awk
MAR,Marriott International,126.23,41570,1900,Consumer Services,Hotels-Resorts,https://www.nasdaq.com/symbol/mar
JNJ,Johnson & Johnson,127.8,337290,1900,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/jnj
EXPE,Expedia Group Inc.,128.5,18830,1900,Consumer Services,Transportation Services,https://www.nasdaq.com/symbol/expe
TM,Toyota Motor Corp Ltd Ord,130.78,187000,1900,Capital Goods,Auto Manufacturing,https://www.nasdaq.com/symbol/tm
DIS,Walt Disney Company (The),134.61,242480,1900,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/dis
MSFT,Microsoft Corporation,135.45,1034220,1986,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/msft
WHR,Whirlpool Corporation,135.86,8630,1900,Consumer Durables,Consumer Electronics-Appliances,https://www.nasdaq.com/symbol/whr
VMC,Vulcan Materials Company,138.83,18370,1900,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/vmc
KMB,Kimberly-Clark Corporation,140.25,48270,1900,Consumer Durables,Containers-Packaging,https://www.nasdaq.com/symbol/kmb
KLAC,KLA Corporation ,141.29,22500,1980,Capital Goods,Electronic Components,https://www.nasdaq.com/symbol/klac
CMI,Cummins Inc.,143.14,22590,1900,Energy,Industrial Machinery Components,https://www.nasdaq.com/symbol/cmi
WST,West Pharmaceutical Services Inc.,145.35,10720,1900,Basic Industries,Specialty Chemicals,https://www.nasdaq.com/symbol/wst
MCK,McKesson Corporation,147.08,27200,1900,Health Care,Other Pharmaceuticals,https://www.nasdaq.com/symbol/mck
FDX,FedEx Corporation,152.49,39780,1900,Transportation,Air Freight-Delivery Services,https://www.nasdaq.com/symbol/fdx
IQV,IQVIA Holdings Inc.,155.12,30390,2013,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://www.nasdaq.com/symbol/iqv
CB,Chubb Limited,155.21,70740,1900,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/cb
